,time_id,seconds_in_bucket,bid_price1,ask_price1,bid_price2,ask_price2,bid_size1,ask_size1,bid_size2,ask_size2,stock_id
0,5,0,1.0014222,1.0023013,1.0013704,1.0023531,3,226,2,100,0
1,5,1,1.0014222,1.0023013,1.0013704,1.0023531,3,100,2,100,0
2,5,5,1.0014222,1.0023013,1.0013704,1.0024048,3,100,2,100,0
3,5,6,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
4,5,7,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
5,5,11,1.0014222,1.0023013,1.0013704,1.0024048,3,100,2,100,0
6,5,12,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
7,5,14,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
8,5,15,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
9,5,16,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
10,5,17,1.0014222,1.0023013,1.0013704,1.0024048,3,100,2,100,0
11,5,18,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
12,5,19,1.0014222,1.0023013,1.0013704,1.0024048,3,126,2,100,0
13,5,21,1.0014222,1.0028185,1.0013704,1.0029219,3,30,2,100,0
14,5,24,1.0014739,1.0028185,1.0014222,1.0029219,155,30,3,100,0
15,5,25,1.0017325,1.0028185,1.0014222,1.0029219,83,30,3,100,0
16,5,44,1.0017325,1.0028185,1.0014222,1.0029219,83,28,3,100,0
17,5,46,1.0028185,1.0032322,1.0023013,1.0038011,155,1,200,34,0
18,5,47,1.0028185,1.0032322,1.0023013,1.0038011,55,1,100,34,0
19,5,48,1.0028185,1.0032322,1.0023531,1.0037494,55,101,103,100,0
20,5,50,1.0023531,1.0030254,1.0023013,1.0032322,3,20,100,301,0
21,5,51,1.0023531,1.0030254,1.0023013,1.0032322,3,20,100,329,0
22,5,55,1.0023531,1.0030254,1.0023013,1.0031805,3,20,100,100,0
23,5,57,1.0025082,1.0036459,1.0024565,1.0037494,200,104,28,200,0
24,5,59,1.0025082,1.0036459,1.0024565,1.0037494,200,4,28,200,0
25,5,60,1.0027668,1.0036459,1.0027151,1.0037494,100,4,100,200,0
26,5,63,1.0028185,1.0036459,1.0027668,1.0037494,11,4,14,200,0
27,5,68,1.0028702,1.0037494,1.0028185,1.0038011,100,100,11,34,0
